stop_id,stop_name,stop_desc,stop_lat,stop_lon
90,Melta Centro,,46.100104,11.118730
91,"Parco di Melta",,46.097239,11.119901
92,Bettini "Madonna Bianca",,46.042500,11.132908
93,Stella "S.Gaetano",,46.036416,11.130367
94,Ss 12 "Casteller",,46.025284,11.132751
95,Ss 12 "Casteller",,46.025707,11.132791
96,Madonna Bianca "S.Gaetano",,46.038012,11.130695
97,Stella Marighetto,,46.034256,11.131509
98,Madonna Bianca "Man",,46.040293,11.130341
99,Ss 12 "Le Caverne",,46.030862,11.132677
100,Ss 12 "Le Caverne",,46.030338,11.132911
101,Martignano Formigheta,,46.089121,11.133090
102,Martignano Formigheta,,46.089134,11.133216
103,Martignano "Chiesa",,46.088732,11.130604
104,Sp 131 "Maso Pradiscola",,46.083189,11.135736
105,Sp 131 "Maso Pradiscola",,46.083255,11.135874
106,Martignano P.Zza Menghin,,46.090240,11.131628
107,Martignano P.Zza Menghin,,46.090275,11.131460
108,Martignano Piazza Canopi,,46.089343,11.131031
109,Sp 131 "Res. Silvana",,46.097726,11.126962
110,Sp 131 "Res. Silvana",,46.097493,11.126925
111,Martignano Ai Bolleri,,46.094491,11.130145
112,Martignano Ai Bolleri,,46.094872,11.129322
113,Sopramonte "Maso Banal",,46.068953,11.063564
115,Sp 131 Al Maso Specchio,,46.104391,11.123568
116,Sp 131 Al Maso Specchio,,46.104353,11.123420
117,Ravina "Maso Stella",,46.032355,11.112678
118,Ravina "Maso Stella",,46.032555,11.112930
119,Mattarello Piazza Perini,,46.006903,11.128338
120,Mattarello Via Nazionale,,46.012407,11.130564
121,Mattarello Via Nazionale,,46.011659,11.130375
122,Mattarello "Regole",,46.013560,11.131498
123,Mattarello "Ronchi",,46.017244,11.132399
124,Mattarello "Ronchi",,46.017362,11.132609
125,Mattarello S.Leonardo,,46.006454,11.127627
