route_id,service_id,trip_id,shape_id 
4_andata,L_V,1249,4_andata 
4_andata,S,1250,4_andata 
4_andata,S,1251,4_andata 
4_andata,S,1252,4_andata 
4_andata,S,1253,4_andata 
4_andata,S,1254,4_andata 
4_andata,S,1255,4_andata 
4_andata,S,1256,4_andata 
4_andata,S,1257,4_andata 
4_andata,S,1258,4_andata 
4_andata,S,1259,4_andata 
4_andata,S,1260,4_andata 
4_andata,S,1261,4_andata 
4_andata,S,1262,4_andata 
4_andata,S,1263,4_andata 
4_andata,S,1264,4_andata 
4_andata,S,1265,4_andata 
4_andata,S,1266,4_andata 
4_andata,S,1267,4_andata 
4_andata,S,1268,4_andata 
4_andata,S,1269,4_andata 
4_andata,S,1270,4_andata 
4_andata,S,1271,4_andata 
4_andata,S,1272,4_andata 
4_andata,S,1273,4_andata 
4_andata,S,1274,4_andata 
4_andata,S,1275,4_andata 
4_andata,S,1276,4_andata 
4_andata,S,1277,4_andata 
4_andata,S,1278,4_andata 
4_andata,S,1279,4_andata 
4_andata,S,1280,4_andata 
4_andata,S,1281,4_andata 
4_andata,S,1282,4_andata 
4_andata,S,1283,4_andata 
4_andata,S,1284,4_andata 
4_andata,S,1285,4_andata 
4_andata,S,1286,4_andata 
4_andata,S,1287,4_andata 
4_andata,S,1288,4_andata 
4_andata,S,1289,4_andata 
4_andata,S,1290,4_andata 
4_andata,S,1291,4_andata 
4_andata,S,1292,4_andata 
4_andata,S,1293,4_andata 
4_andata,S,1294,4_andata 
4_andata,D,1295,4_andata 
4_andata,D,1296,4_andata 
4_andata,D,1297,4_andata 
4_andata,D,1298,4_andata 
4_andata,D,1299,4_andata 
4_andata,D,1300,4_andata 
4_andata,D,1301,4_andata 
4_andata,D,1302,4_andata 
4_andata,D,1303,4_andata 
4_andata,D,1304,4_andata 
4_andata,D,1305,4_andata 
4_andata,D,1306,4_andata 
4_andata,D,1307,4_andata 
4_andata,D,1308,4_andata 
4_andata,D,1309,4_andata 
4_andata,D,1310,4_andata 
4_andata,D,1311,4_andata 
4_andata,D,1312,4_andata 
4_andata,D,1313,4_andata 
4_andata,D,1314,4_andata 
4_andata,D,1315,4_andata 
4_andata,D,1316,4_andata 
4A_andata,L_V,1317,4A_andata 
4A_andata,L_V,1318,4A_andata 
4A_andata,L_V,1319,4A_andata 
4A_andata,L_V,1320,4A_andata 
4A_andata,L_V,1321,4A_andata 
4A_andata,L_V,1322,4A_andata 
4A_andata,L_V,1323,4A_andata 
4A_andata,L_V,1324,4A_andata 
4A_andata,L_V,1325,4A_andata 
4A_andata,L_V,1326,4A_andata 
4A_andata,L_V,1327,4A_andata 
4A_andata,L_V,1328,4A_andata 
4A_andata,L_V,1329,4A_andata 
4A_andata,L_V,1330,4A_andata 
4A_andata,S,1331,4A_andata 
4A_andata,S,1332,4A_andata 
4A_andata,S,1333,4A_andata 
4A_andata,S,1334,4A_andata 
4A_andata,S,1335,4A_andata 
4A_andata,S,1336,4A_andata 
4A_andata,S,1337,4A_andata 
4A_andata,S,1338,4A_andata 
4A_andata,S,1339,4A_andata 
4A_andata,S,1340,4A_andata 
4A_andata,S,1341,4A_andata 
4A_andata,S,1342,4A_andata 
4A_andata,S,1343,4A_andata 
4A_andata,S,1344,4A_andata 
4A_andata,D,1345,4A_andata 
4A_andata,D,1346,4A_andata 
4A_andata,D,1347,4A_andata 
4A_andata,D,1348,4A_andata 
4_ritorno,L_V,1349,4_ritorno 
4_ritorno,L_V,1350,4_ritorno 
4_ritorno,L_V,1351,4_ritorno 
4_ritorno,L_V,1352,4_ritorno 
4_ritorno,L_V,1353,4_ritorno 
4_ritorno,L_V,1354,4_ritorno 
4_ritorno,L_V,1355,4_ritorno 
4_ritorno,L_V,1356,4_ritorno 
4_ritorno,L_V,1357,4_ritorno 
4_ritorno,L_V,1358,4_ritorno 
4_ritorno,L_V,1359,4_ritorno 
4_ritorno,L_V,1360,4_ritorno 
4_ritorno,L_V,1361,4_ritorno 
4_ritorno,L_V,1362,4_ritorno 
4_ritorno,L_V,1363,4_ritorno 
4_ritorno,L_V,1364,4_ritorno 
4_ritorno,L_V,1365,4_ritorno 
4_ritorno,L_V,1366,4_ritorno 
4_ritorno,L_V,1367,4_ritorno 
4_ritorno,L_V,1368,4_ritorno 
4_ritorno,L_V,1369,4_ritorno 
4_ritorno,L_V,1370,4_ritorno 
4_ritorno,L_V,1371,4_ritorno 
4_ritorno,L_V,1372,4_ritorno 
4_ritorno,L_V,1373,4_ritorno 
4_ritorno,L_V,1374,4_ritorno 
4_ritorno,L_V,1375,4_ritorno 
4_ritorno,L_V,1376,4_ritorno 
4_ritorno,L_V,1377,4_ritorno 
4_ritorno,L_V,1378,4_ritorno 
4_ritorno,L_V,1379,4_ritorno 
4_ritorno,L_V,1380,4_ritorno 
4_ritorno,L_V,1381,4_ritorno 
4_ritorno,L_V,1382,4_ritorno 
4_ritorno,L_V,1383,4_ritorno 
4_ritorno,L_V,1384,4_ritorno 
4_ritorno,L_V,1385,4_ritorno 
4_ritorno,L_V,1386,4_ritorno 
4_ritorno,L_V,1387,4_ritorno 
4_ritorno,L_V,1388,4_ritorno 
4_ritorno,L_V,1389,4_ritorno 
4_ritorno,L_V,1390,4_ritorno 
4_ritorno,L_V,1391,4_ritorno 
4_ritorno,L_V,1392,4_ritorno 
4_ritorno,L_V,1393,4_ritorno 
4_ritorno,L_V,1394,4_ritorno 
4_ritorno,L_V,1395,4_ritorno 
4_ritorno,L_V,1396,4_ritorno 
4_ritorno,L_V,1397,4_ritorno 
4_ritorno,L_V,1398,4_ritorno 
4_ritorno,L_V,1399,4_ritorno 
4_ritorno,L_V,1400,4_ritorno 
4_ritorno,L_V,1401,4_ritorno 
4_ritorno,L_V,1402,4_ritorno 
4_ritorno,L_V,1403,4_ritorno 
4_ritorno,L_V,1404,4_ritorno 
4_ritorno,L_V,1405,4_ritorno 
4_ritorno,L_V,1406,4_ritorno 
4_ritorno,S,1407,4_ritorno 
4_ritorno,S,1408,4_ritorno 
4_ritorno,S,1409,4_ritorno 
4_ritorno,S,1410,4_ritorno 
4_ritorno,S,1411,4_ritorno 
4_ritorno,S,1412,4_ritorno 
4_ritorno,S,1413,4_ritorno 
4_ritorno,S,1414,4_ritorno 
4_ritorno,S,1415,4_ritorno 
4_ritorno,S,1416,4_ritorno 
4_ritorno,S,1417,4_ritorno 
4_ritorno,S,1418,4_ritorno 
4_ritorno,S,1419,4_ritorno 
4_ritorno,S,1420,4_ritorno 
4_ritorno,S,1421,4_ritorno 
4_ritorno,S,1422,4_ritorno 
4_ritorno,S,1423,4_ritorno 
4_ritorno,S,1424,4_ritorno 
4_ritorno,S,1425,4_ritorno 
4_ritorno,S,1426,4_ritorno 
4_ritorno,S,1427,4_ritorno 
4_ritorno,S,1428,4_ritorno 
4_ritorno,S,1429,4_ritorno 
4_ritorno,S,1430,4_ritorno 
4_ritorno,S,1431,4_ritorno 
4_ritorno,S,1432,4_ritorno 
4_ritorno,S,1433,4_ritorno 
4_ritorno,S,1434,4_ritorno 
4_ritorno,S,1435,4_ritorno 
4_ritorno,S,1436,4_ritorno 
4_ritorno,S,1437,4_ritorno 
4_ritorno,S,1438,4_ritorno 
4_ritorno,S,1439,4_ritorno 
4_ritorno,S,1440,4_ritorno 
4_ritorno,S,1441,4_ritorno 
4_ritorno,S,1442,4_ritorno 
4_ritorno,S,1443,4_ritorno 
4_ritorno,S,1444,4_ritorno 
4_ritorno,S,1445,4_ritorno 
4_ritorno,S,1446,4_ritorno 
4_ritorno,S,1447,4_ritorno 
4_ritorno,S,1448,4_ritorno 
4_ritorno,S,1449,4_ritorno 
4_ritorno,S,1450,4_ritorno 
4_ritorno,S,1451,4_ritorno 
4_ritorno,S,1452,4_ritorno 
4_ritorno,S,1453,4_ritorno 
4_ritorno,S,1454,4_ritorno 
4_ritorno,S,1455,4_ritorno 
4_ritorno,S,1456,4_ritorno 
4_ritorno,S,1457,4_ritorno 
4_ritorno,S,1458,4_ritorno 
4_ritorno,S,1459,4_ritorno 
4_ritorno,S,1460,4_ritorno 
4_ritorno,S,1461,4_ritorno 
4_ritorno,S,1462,4_ritorno 
4_ritorno,S,1463,4_ritorno 
4_ritorno,S,1464,4_ritorno 
4_ritorno,D,1465,4_ritorno 
4_ritorno,D,1466,4_ritorno 
4_ritorno,D,1467,4_ritorno 
4_ritorno,D,1468,4_ritorno 
4_ritorno,D,1469,4_ritorno 
